bbl,borough,block,lot
1000160235,1,00016,0235
1000270027,1,00027,0027
1001467505,1,00146,7505
1001507504,1,00150,7504
1001500022,1,00150,0022
1002300033,1,00230,0033
1003000020,1,00300,0020
1003000021,1,00300,0021
1003000022,1,00300,0022
1003477501,1,00347,7501
1003947506,1,00394,7506
1003947507,1,00394,7507
1004081104,1,00408,1104
1004110154,1,00411,0154
1004270030,1,00427,0030
1004370014,1,00437,0014
1004860028,1,00486,0028
1005227502,1,00522,7502
1005440038,1,00544,0038
1005610005,1,00561,0005
1005880001,1,00588,0001
1005957509,1,00595,7509
1006120017,1,00612,0017
1007017501,1,00701,7501
1007107501,1,00710,7501
1007207504,1,00720,7504
1007460022,1,00746,0022
1007620004,1,00762,0004
1007970009,1,00797,0009
1008067502,1,00806,7502
1008071103,1,00807,1103
1008237507,1,00823,7507
1008310053,1,00831,0053
1008577503,1,00857,7503
1008490036,1,00849,0036
1008860059,1,00886,0059
1009197501,1,00919,7501
1009260041,1,00926,0041
1009337501,1,00933,7501
1010377501,1,01037,7501
1010810029,1,01081,0029
1010907502,1,01090,7502
1011057501,1,01105,7501
1011500029,1,01150,0029
1011620063,1,01162,0063
1011580129,1,01158,0129
1011717509,1,01171,7509
1011700001,1,01170,0001
1011980005,1,01198,0005
1011990053,1,01199,0053
1012110008,1,01211,0008
1012330157,1,01233,0157
1012360027,1,01236,0027
1012510068,1,01251,0068
1013230035,1,01323,0035
1013750037,1,01375,0037
1014730042,1,01473,0042
1015000058,1,01500,0058
1015387501,1,01538,7501
1015520015,1,01552,0015
1016070059,1,01607,0059
1016337502,1,01633,7502
1017350059,1,01735,0059
1018220001,1,01822,0001
1018220061,1,01822,0061
1018320022,1,01832,0022
1018460049,1,01846,0049
1018511004,1,01851,1004
1018521101,1,01852,1101
1018650020,1,01865,0020
1018680061,1,01868,0061
1018880074,1,01888,0074
1018890055,1,01889,0055
1018910017,1,01891,0017
1018930051,1,01893,0051
1020387501,1,02038,7501
1020310001,1,02031,0001
1020310015,1,02031,0015
1020630063,1,02063,0063
1020940020,1,02094,0020
1020900049,1,02090,0049
1021200069,1,02120,0069
1021340161,1,02134,0161
1021620001,1,02162,0001
1021807501,1,02180,7501
2022950073,2,02295,0073
2023347501,2,02334,7501
2023661001,2,02366,1001
2023670011,2,02367,0011
2023670026,2,02367,0026
2023680015,2,02368,0015
2023690027,2,02369,0027
2023781002,2,02378,1002
2024010035,2,02401,0035
2024230063,2,02423,0063
2024410200,2,02441,0200
2025230067,2,02523,0067
2025230068,2,02523,0068
2025230069,2,02523,0069
2025827501,2,02582,7501
2025827502,2,02582,7502
2026090115,2,02609,0115
2026420113,2,02642,0113
2026420114,2,02642,0114
2026620058,2,02662,0058
2026810006,2,02681,0006
2026810023,2,02681,0023
2026880044,2,02688,0044
2026900004,2,02690,0004
2026970035,2,02697,0035
2028317501,2,02831,7501
2029760060,2,02976,0060
2029801002,2,02980,1002
2030147501,2,03014,7501
2030667501,2,03066,7501
2030750052,2,03075,0052
2030750053,2,03075,0053
2031050026,2,03105,0026
2031110001,2,03111,0001
2031560085,2,03156,0085
2032400060,2,03240,0060
2032500220,2,03250,0220
2033247501,2,03324,7501
2033607501,2,03360,7501
2035970040,2,03597,0040
2036590042,2,03659,0042
2036590043,2,03659,0043
2037107501,2,03710,7501
2036600056,2,03660,0056
2038057501,2,03805,7501
2040077501,2,04007,7501
2044350016,2,04435,0016
2044350120,2,04435,0120
2044390025,2,04439,0025
2046090048,2,04609,0048
2046650126,2,04665,0126
2046620079,2,04662,0079
2046620078,2,04662,0078
2046620080,2,04662,0080
2048350186,2,04835,0186
2051417501,2,05141,7501
2052600024,2,05260,0024
2052600026,2,05260,0026
2057590358,2,05759,0358
2058517501,2,05851,7501
3000367504,3,00036,7504
3001547501,3,00154,7501
3001667502,3,00166,7502
3003047501,3,00304,7501
3003050001,3,00305,0001
3003100003,3,00310,0003
3003510006,3,00351,0006
3004360028,3,00436,0028
3004640019,3,00464,0019
3004640021,3,00464,0021
3005260021,3,00526,0021
3005800024,3,00580,0024
3007410006,3,00741,0006
3008267502,3,00826,7502
3008410035,3,00841,0035
3018087501,3,01808,7501
3009331105,3,00933,1105
3009330012,3,00933,0012
3009387503,3,00938,7503
3009520014,3,00952,0014
3009630092,3,00963,0092
3010470161,3,01047,0161
3010580049,3,01058,0049
3010660011,3,01066,0011
3010890046,3,01089,0046
3011030009,3,01103,0009
3011270010,3,01127,0010
3011730058,3,01173,0058
3011800026,3,01180,0026
3012060013,3,01206,0013
3012707503,3,01270,7503
3013420039,3,01342,0039
3013420041,3,01342,0041
3014420045,3,01442,0045
3014470001,3,01447,0001
3014470067,3,01447,0067
3014800060,3,01480,0060
3014830025,3,01483,0025
3014847501,3,01484,7501
3014880040,3,01488,0040
3014910047,3,01491,0047
3015037501,3,01503,7501
3015077501,3,01507,7501
3015250055,3,01525,0055
3015270025,3,01527,0025
3015790050,3,01579,0050
3016410061,3,01641,0061
3016590036,3,01659,0036
3016670036,3,01667,0036
3017540007,3,01754,0007
3017547505,3,01754,7505
3017557503,3,01755,7503
3017620044,3,01762,0044
3017800131,3,01780,0131
3017820051,3,01782,0051
3018757501,3,01875,7501
3018857507,3,01885,7507
3018917501,3,01891,7501
3018937504,3,01893,7504
3019537503,3,01953,7503
3019057502,3,01905,7502
3019800009,3,01980,0009
3020117501,3,02011,7501
3020160017,3,02016,0017
3020200125,3,02020,0125
3020450093,3,02045,0093
3020610110,3,02061,0110
3020617501,3,02061,7501
3020617502,3,02061,7502
3022380127,3,02238,0127
3021067501,3,02106,7501
3021077501,3,02107,7501
3021077502,3,02107,7502
3021697508,3,02169,7508
3022187505,3,02218,7505
3022891002,3,02289,1002
3022760001,3,02276,0001
3023240030,3,02324,0030
3023337501,3,02333,7501
3023400001,3,02340,0001
3023870019,3,02387,0019
3024260001,3,02426,0001
3024517501,3,02451,7501
3024517502,3,02451,7502
3024607501,3,02460,7501
3024697502,3,02469,7502
3024717501,3,02471,7501
3024727501,3,02472,7501
3025410033,3,02541,0033
3025410036,3,02541,0036
3027347502,3,02734,7502
3027387501,3,02738,7501
3027607502,3,02760,7502
3027850040,3,02785,0040
3027907504,3,02790,7504
3028290028,3,02829,0028
3029120023,3,02912,0023
3029160052,3,02916,0052
3029160053,3,02916,0053
3029190032,3,02919,0032
3030547502,3,03054,7502
3030700019,3,03070,0019
3031317501,3,03131,7501
3031510001,3,03151,0001
3031510163,3,03151,0163
3032447501,3,03244,7501
3033307501,3,03330,7501
3034130005,3,03413,0005
3037940028,3,03794,0028
3038047501,3,03804,7501
3038057501,3,03805,7501
3038207501,3,03820,7501
3041070001,3,04107,0001
3048190077,3,04819,0077
3048290005,3,04829,0005
3050300034,3,05030,0034
3050460074,3,05046,0074
3051747501,3,05174,7501
3056557504,3,05655,7504
3056590043,3,05659,0043
3057157501,3,05715,7501
3061030029,3,06103,0029
3061200001,3,06120,0001
3061317501,3,06131,7501
3066060026,3,06606,0026
3067030043,3,06703,0043
3074050043,3,07405,0043
3074597501,3,07459,7501
3075577501,3,07557,7501
3086737501,3,08673,7501
3087101002,3,08710,1002
4000067501,4,00006,7501
4000067502,4,00006,7502
4001390006,4,00139,0006
4003110032,4,00311,0032
4004000208,4,00400,0208
4004140117,4,00414,0117
4004187501,4,00418,7501
4004337501,4,00433,7501
4005520029,4,00552,0029
4005890067,4,00589,0067
4006330040,4,00633,0040
4006607503,4,00660,7503
4008397503,4,00839,7503
4008390033,4,00839,0033
4012670032,4,01267,0032
4012837501,4,01283,7501
4015237501,4,01523,7501
4015987501,4,01598,7501
4017217501,4,01721,7501
4018387505,4,01838,7505
4018800044,4,01880,0044
4019287501,4,01928,7501
4022200001,4,02220,0001
4031000014,4,03100,0014
4033210025,4,03321,0025
4033597501,4,03359,7501
4033730021,4,03373,0021
4033730022,4,03373,0022
4033740037,4,03374,0037
4033920052,4,03392,0052
4033940049,4,03394,0049
4033940050,4,03394,0050
4033940056,4,03394,0056
4033940057,4,03394,0057
4034030032,4,03403,0032
4033940053,4,03394,0053
4033920066,4,03392,0066
4033920068,4,03392,0068
4034070024,4,03407,0024
4034070028,4,03407,0028
4034280043,4,03428,0043
4034280051,4,03428,0051
4034290042,4,03429,0042
4034290052,4,03429,0052
4034290054,4,03429,0054
4034290060,4,03429,0060
4034290044,4,03429,0044
4034280041,4,03428,0041
4034280047,4,03428,0047
4034320004,4,03432,0004
4034320008,4,03432,0008
4034320010,4,03432,0010
4034320016,4,03432,0016
4034320018,4,03432,0018
4034320024,4,03432,0024
4034320026,4,03432,0026
4034320020,4,03432,0020
4034320001,4,03432,0001
4034320002,4,03432,0002
4034320006,4,03432,0006
4034380016,4,03438,0016
4034410040,4,03441,0040
4034410048,4,03441,0048
4034410054,4,03441,0054
4034520021,4,03452,0021
4034520012,4,03452,0012
4034520018,4,03452,0018
4034540016,4,03454,0016
4034770025,4,03477,0025
4034770029,4,03477,0029
4034770035,4,03477,0035
4034770017,4,03477,0017
4035400037,4,03540,0037
4035500007,4,03550,0007
4035520002,4,03552,0002
4035520003,4,03552,0003
4035640033,4,03564,0033
4035640036,4,03564,0036
4035480017,4,03548,0017
4035500010,4,03550,0010
4035470108,4,03547,0108
4035480012,4,03548,0012
4035650020,4,03565,0020
4035730029,4,03573,0029
4035730032,4,03573,0032
4035740015,4,03574,0015
4035740017,4,03574,0017
4035740020,4,03574,0020
4035740021,4,03574,0021
4035640038,4,03564,0038
4035640039,4,03564,0039
4035640041,4,03564,0041
4035650022,4,03565,0022
4035750062,4,03575,0062
4035750058,4,03575,0058
4049520033,4,04952,0033
4049520034,4,04952,0034
4049520035,4,04952,0035
4049520036,4,04952,0036
4049520037,4,04952,0037
4050050046,4,05005,0046
4051010014,4,05101,0014
4062847502,4,06284,7502
4067987502,4,06798,7502
4068000015,4,06800,0015
4091530066,4,09153,0066
4093331002,4,09333,1002
4097147501,4,09714,7501
4097140149,4,09714,0149
4099370114,4,09937,0114
4102000070,4,10200,0070
4102000076,4,10200,0076
4121410007,4,12141,0007
4125290230,4,12529,0230
4155540061,4,15554,0061
4156100001,4,15610,0001
4156140107,4,15614,0107
4158537501,4,15853,7501
4161510006,4,16151,0006
4161880066,4,16188,0066
5004877501,5,00487,7501
5004877502,5,00487,7502
5024011050,5,02401,1050
1004010018,1,00401,0018
1012330059,1,01233,0059
1014330045,1,01433,0045
1019170009,1,01917,0009
3016340075,3,01634,0075
4034280045,4,03428,0045
4034370050,4,03437,0050
4034520009,4,03452,0009
4035650028,4,03565,0028
1007750006,1,00775,0006
1005720055,1,00572,0055
1011630017,1,01163,0017
1011710160,1,01171,0160
1018690054,1,01869,0054
1018430008,1,01843,0008
1018430010,1,01843,0010
1018620005,1,01862,0005
1018880081,1,01888,0081
1020930020,1,02093,0020
1021340065,1,02134,0065
1021360010,1,02136,0010
3003660012,3,00366,0012
1017720071,1,01772,0071
4132920001,4,13292,0001
1003000027,1,00300,0027
1016070069,1,01607,0069
1016611102,1,01661,1102
3026180057,3,02618,0057
1011520057,1,01152,0057
2022950071,2,02295,0071
4161880068,4,16188,0068
1000781902,1,00078,1902
1011290003,1,01129,0003
3011050033,3,01105,0033
3067030045,3,06703,0045
1011631304,1,01163,1304
4033920050,4,03392,0050
2024040018,2,02404,0018
2023691102,2,02369,1102
4035740014,4,03574,0014
2046620081,2,04662,0081
4034080065,4,03408,0065
1001421001,1,00142,1001
1000760011,1,00076,0011
1000780019,1,00078,0019
1003000023,1,00300,0023
1003000028,1,00300,0028
1003430070,1,00343,0070
1004130042,1,00413,0042
1008290003,1,00829,0003
1008320045,1,00832,0045
1008460008,1,00846,0008
1008740045,1,00874,0045
1008760021,1,00876,0021
1010250001,1,01025,0001
1011280020,1,01128,0020
1011680059,1,01168,0059
1012220001,1,01222,0001
1012230047,1,01223,0047
1012290013,1,01229,0013
1012610153,1,01261,0153
1013750129,1,01375,0129
1013800052,1,01380,0052
1013830013,1,01383,0013
1014060054,1,01406,0054
1014140029,1,01414,0029
1014200001,1,01420,0001
1015110030,1,01511,0030
1015120035,1,01512,0035
1015170020,1,01517,0020
1016290020,1,01629,0020
1016660027,1,01666,0027
1017180053,1,01718,0053
1018210047,1,01821,0047
1018430006,1,01843,0006
1018440029,1,01844,0029
1018440032,1,01844,0032
1018510037,1,01851,0037
1019110108,1,01911,0108
1019440013,1,01944,0013
1019440014,1,01944,0014
1019440051,1,01944,0051
1020310041,1,02031,0041
1020660035,1,02066,0035
1020920018,1,02092,0018
1021350007,1,02135,0007
2023681002,2,02368,1002
2026900059,2,02690,0059
2027620097,2,02762,0097
2028879100,2,02887,9100
2036270001,2,03627,0001
2044330023,2,04433,0023
3006310010,3,00631,0010
3008100038,3,00810,0038
3008320025,3,00832,0025
3008320052,3,00832,0052
3009600058,3,00960,0058
3009660077,3,00966,0077
3009820020,3,00982,0020
3010820042,3,01082,0042
3010820043,3,01082,0043
3010820054,3,01082,0054
3010870029,3,01087,0029
3011270021,3,01127,0021
3011270043,3,01127,0043
3011270050,3,01127,0050
3011710029,3,01171,0029
3011710032,3,01171,0032
3011730084,3,01173,0084
3013290055,3,01329,0055
3013770023,3,01377,0023
3018510023,3,01851,0023
3021360021,3,02136,0021
3023401002,3,02340,1002
3023680032,3,02368,0032
3030540036,3,03054,0036
3032860017,3,03286,0017
3037710006,3,03771,0006
3051970060,3,05197,0060
3054000008,3,05400,0008
3056900048,3,05690,0048
3087100035,3,08710,0035
3087220474,3,08722,0474
4021110001,4,02111,0001
4033660026,4,03366,0026
4033800016,4,03380,0016
4033750088,4,03375,0088
4033750089,4,03375,0089
4033920054,4,03392,0054
4033920056,4,03392,0056
4033920058,4,03392,0058
4033920060,4,03392,0060
4033920062,4,03392,0062
4033920064,4,03392,0064
4033940043,4,03394,0043
4033940044,4,03394,0044
4033940046,4,03394,0046
4033940052,4,03394,0052
4033940054,4,03394,0054
4033940055,4,03394,0055
4034030026,4,03403,0026
4034030028,4,03403,0028
4034030030,4,03403,0030
4033940045,4,03394,0045
4033940048,4,03394,0048
4034060060,4,03406,0060
4034060062,4,03406,0062
4034070026,4,03407,0026
4034280035,4,03428,0035
4034280037,4,03428,0037
4034280039,4,03428,0039
4034280049,4,03428,0049
4034280053,4,03428,0053
4034280055,4,03428,0055
4034280057,4,03428,0057
4034290034,4,03429,0034
4034290040,4,03429,0040
4034290058,4,03429,0058
4034290048,4,03429,0048
4034290050,4,03429,0050
4034320014,4,03432,0014
4034320022,4,03432,0022
4034320012,4,03432,0012
4034370048,4,03437,0048
4034370053,4,03437,0053
4034370051,4,03437,0051
4034390054,4,03439,0054
4034410038,4,03441,0038
4034410042,4,03441,0042
4034410044,4,03441,0044
4034410046,4,03441,0046
4034410050,4,03441,0050
4034410052,4,03441,0052
4034410059,4,03441,0059
4034430001,4,03443,0001
4034430012,4,03443,0012
4034470010,4,03447,0010
4034520007,4,03452,0007
4034520010,4,03452,0010
4034520013,4,03452,0013
4034520019,4,03452,0019
4034520016,4,03452,0016
4034770021,4,03477,0021
4034770023,4,03477,0023
4034770031,4,03477,0031
4034770033,4,03477,0033
4034770039,4,03477,0039
4034770019,4,03477,0019
4034870009,4,03487,0009
4035490023,4,03549,0023
4035500006,4,03550,0006
4035500009,4,03550,0009
4035520009,4,03552,0009
4035640035,4,03564,0035
4035650023,4,03565,0023
4035650025,4,03565,0025
4035650026,4,03565,0026
4035740018,4,03574,0018
4035740023,4,03574,0023
4035740012,4,03574,0012
4035750050,4,03575,0050
4035750053,4,03575,0053
4035750054,4,03575,0054
4035750056,4,03575,0056
4035750059,4,03575,0059
4035750060,4,03575,0060
4035760026,4,03576,0026
4035760028,4,03576,0028
1011150017,1,01115,0017
1012180029,1,01218,0029
1014060001,1,01406,0001
3016580040,3,01658,0040
3002650050,3,00265,0050
4034520015,4,03452,0015
3015420034,3,01542,0034
3045970001,3,04597,0001
4034770027,4,03477,0027
4035750052,4,03575,0052
4102000071,4,10200,0071
2033050058,2,03305,0058
