kauffman_msa,Rate_New_Entrp
12060,0.0043
12420,0.0051
12580,0.002
14460,0.0033
16740,0.0037
16980,0.0022
17140,0.003
17460,0.0019
18140,0.0028
19100,0.0037
19740,0.0039
19820,0.0025
26420,0.004
26900,0.0016
27260,0.0011
28140,0.0037
29820,0.0042
31100,0.0056
33100,0.0056
33340,0.0015
33460,0.002
34980,0.0027
35620,0.0041
36740,0.0025
37980,0.0021
38060,0.0038
38300,0.0013
38900,0.0026
39300,0.0018
40140,0.0036
40900,0.0031
41180,0.0023
41700,0.0038
41740,0.0049
41860,0.0037
41940,0.0026
42660,0.0025
45300,0.0034
47260,0.0018
47900,0.0028
